NAME_OF_EMPLOYER,REF_NO,ADDRESS
Raspect Tours & Transportation,2561231,29 Dunbar Blvd
Riley's Mini mart,3505856,King Street
Real Mobay Academy Football Club,8782542,"3818 Hamilton Ave, Cornwall Courts"
Royale Selection Gifts & Souvenirs Ltd,2722734,7 Queens Drive
Razteca Services Ltd,2749455,17 Claude Clarke Ave
River Raft Ltd,4650743,Claude Clarke Ave
Relax Villa Ltd,6821268,26 Hobbs Ave
Sunsational Car Rentals & Tours Ltd,6601165,Providence
Shadae's Resturant,0819540,9 North Street
Stuart's Joinery & Doors Manufacturing Co. Ltd,7250202,Flanker
Supreme Prep School,6662084,Paradise Acres
Softec Computer & Electronic,7915341,Federal Ave
SNL Jamaican Tours Ltd,8560815,Lot 29 Albion Heights Crescent
St. Paul's United Church,6680250,1 King Street
Strode Investment Ltd,6822225,3 Ramparts Close
Somon Marketting Ltd,4517256,14 Leaders Ave
Solar Internet Repairs S.I.R. Tech Ltd,0777649,16 North Street
Shimoy Auto Sales,3951902,"3955 Grenada Court, Cornwall Courts"
Springers United Sports Club,7702467,Salt Spring Road
Sun Jam Car Rentals,0950246,Claude Clarke Ave
Salt Spring Community Outreach for Empowerment Int'l Ltd,6753958,"Birch Hill, Salt Spring"
Starview Car Rentals,3923109,1-3 Sunset Blvd
St. James Exterminator Co. Ltd,1014125,13Hall Drive
Sashia's Million Shoetique,9722612,Norwood Gardens
Select Car Rentals,4601134,80 Queen's Drive
Sunny Isle Auto,3910650,"23 Joan Ave, Glendevon"
Swiss Car Rentals & Sales,6952865,"88 Hibiscus Close, Rosemount"
Salmon's Food Basket,0846097,"457 Bahamas Ave., Cornwall Courts"
Sun City Car Rentals & Sales,6601306,10 Sunset Blvd
Souvenir Shop Ltd,0901181,City Centre Building
Segona Systems & Technology,1751106,"3955 Grenada Court, Cornwall Courts"
Salt Spring Primary & Infant,       -,Salt Spring Dist
Salt Spring Wholesale,9924945,Salt Spring Dist
Timeless Car Rental,5923081,Claude Clarke Ave
Trend Right,5920277,32 City Centre Bldg
Tremaines Car Rentals,9601980,Claude Clarke Ave
Termel Beauty Salon Ltd,6842868,4 City Centre Bldg
T 100 Records,8756280,"Meggie Top, Salt Spring"
The Christian Church of Jesus Christ the Supreme,1755107,"Felman Corner, Salt Spriing"
T - Mar Distributors Co,7480395,Salt Spring Dist
Tenecan Ltd,5014832,"75 pimento Drive, Montego Hills"
Timeless Elegant Tour,621342,939 Rose Heights
The Montego Bay Airport Red Cap Association,7890833,Sangsters Int'l Airport
Top Seal Co. T/A Hotel Gloriana,7821564,1-2 Sunset Blvd
The Wedding Centre,0529313,City Centre Building
True Flight Aviation Services,2862191,Sangsters Int'l Airport
Trail Blazer Project Management & Construction Ltd,4870382,32 Queen's Drive
Tajmashreds,5519756,"Mckenzie Drive, Flanker"
Tropical Court Resort,2822393,34 hobbs Ave
Triple Flags Car Rentals Ltd,1601913,34 Queen's Drive
The Exuberant Overseas Placement Agency,7701444,18 Queen's Drive
Tristanco Distributor,9753690,"636 Bahamas Link, Cornwall Courts"
Un Amor Rentals Ltd,4747903,8 Sunset Blvd
Umatter Solutions,6749055,80 Queen's Drive
Unlock to Talk,9748302,Shop # 116 City Centre Bldg
Village of Hope Ltd,8844425,"21 Lloyd Young Drive, Albion"
Vijay-Raj Enterprises Ja. Ltd,7826613,19 Queen's Drive
Village Top 7 Star Enterprise ,0754309,"551 Village Top, Rose  Heights"
Visionaires Apostolic Kindergarten & Preperatory School,2665867,Lot 8 Vernon's Drive
Value Pest Management Services Ltd,1749365,"69 Norwood Drive, Norwood Housing Scheme"
Veg Out Distributors,9752155,66 Claude Clarke Avenue
Vacha Disposables & Supplies,7721178,"7 Mavis Craige Ave., Mango Walk"
Williams Elite Academy,2666493,"8 Coke Ave., Brandon Hill"
Wendy Close Investment,7552995,Paradise Crescent/39 Church Street
Wigs La Chic,1721638,Lot 461 Hendon Norwood
West Indian T Shirt Co,6823528,"#12 Townhouse, Mango Walk"
Y M T Events & Promotions,2743904,"3 Mavis Craige Ave., Mango Walk"
Yapp's Sea Fresh,6828768,"Providence Heights, Flanker"
Your Beauty is…Our Passion,0842849,North Street
